Feature_Group,Model,Folds,Features_mean,Train_MAE_mean,Train_RMSE_mean,Train_R2_mean,Valid_MAE_mean,Valid_MAE_std,Valid_RMSE_mean,Valid_RMSE_std,Valid_R2_mean,Valid_R2_median,Valid_R2_std,Valid_R2_min,Valid_R2_max,RMSE_Gap_mean,R2_Gap_mean,Baseline_RMSE_mean,RMSE_Improvement_mean_pct,OOF_MAE,OOF_RMSE,OOF_R2
LR,CatBoost,5,40.0,0.04151072511957673,0.05561394297387131,0.9790098870514836,0.20299281756640936,0.01712324837513336,0.2620523723873983,0.023996715328153197,0.4721382963204065,0.5646056670519211,0.16092739916040158,0.2058312425053851,0.5881199985726793,0.20643842941352694,0.5068715907310771,0.3858287977148692,31.39870017312624,0.20640266960200335,0.2672510257905884,0.5201480743031837
LR,RandomForest,5,40.0,0.06058152208121176,0.08170268395720284,0.9547674716899287,0.20488656726502602,0.01665044321164902,0.2618594882442995,0.024677839092672238,0.4724184562758186,0.568055378897123,0.16476540891695518,0.19773021795231727,0.5803360482803825,0.18015680428709666,0.48234901541411,0.3858287977148692,31.428112409613345,0.2084574648319328,0.26729576047424924,0.5199874177023958
SR,HistGradientBoosting,5,40.0,0.026665604098558122,0.03911839927372077,0.9896017793251772,0.20019328567591751,0.02892597181489318,0.2600935451952568,0.03351684831070541,0.4798763118220471,0.525477514362679,0.17950955035160698,0.16737837426657243,0.6167613065285757,0.22097514592153603,0.5097254675031302,0.3858287977148692,31.884170200133205,0.2059515843782383,0.26814585522886075,0.5169293440622589
LR,SVR,5,40.0,0.10895780281308702,0.1444289486224828,0.857912727131413,0.20459101458696444,0.03487623077423641,0.26140330746744156,0.038365936977432305,0.4572937412230731,0.5616561610058162,0.25686062894657646,0.0201896500784694,0.6421867466966814,0.1169743588449588,0.4006189859083399,0.3858287977148692,31.134915839187073,0.20938933038580185,0.2685204165939028,0.5155788404156159
SR,CatBoost,5,40.0,0.04043591130505504,0.05411688117798134,0.9800636757687042,0.2044652834092008,0.01866266279966844,0.2652085583238998,0.021127919263642568,0.4611080402617043,0.5245420753035266,0.14760768927128157,0.23239948559569024,0.5926327718279654,0.21109167714591842,0.518955635507,0.3858287977148692,30.582504419498843,0.20776676569310973,0.2700520448760258,0.5100368470619878
LR,GradientBoosting,5,40.0,0.05020632824716022,0.06676501503666812,0.9695994630198939,0.20248894377067034,0.01904816819743031,0.26359646721284025,0.031155377069428877,0.4632023924618197,0.5350739576578514,0.18816501600567703,0.1433038531828631,0.6136267357032914,0.19683145217617215,0.5063970705580741,0.3858287977148692,30.987688815301034,0.2060481139799965,0.27013366405710343,0.5097406342740605
LR,ExtraTrees,5,40.0,0.0003632356336465797,0.0043379731821224735,0.9998399483479077,0.205293907333474,0.020361254978943442,0.2643779828664813,0.027704898141195734,0.46607691196237633,0.5096391474610145,0.15022805594294752,0.22129027662698408,0.5926531880199413,0.2600400096843588,0.5337630363855312,0.3858287977148692,30.96681524658792,0.209262605882353,0.2706476976468845,0.5078730436091095
SR,ExtraTrees,5,40.0,0.0003632356336465797,0.0043379731821224735,0.9998399483479077,0.2093824347263855,0.01833391809938928,0.2678601412464564,0.02423117238796459,0.45028515618200515,0.5192274583423173,0.15405630679092588,0.21623877284590365,0.589884597376816,0.26352216806433393,0.5495547921659025,0.3858287977148692,30.00207599964138,0.2130170835294118,0.273238798065111,0.49840498362939734
LR,Linear,5,40.0,0.15107590641533045,0.19551943982375822,0.7410961156755294,0.19278946235928493,0.04552162281860772,0.25668448190149745,0.06451440975996593,0.4890013080101646,0.5321853492825488,0.22392160148646492,0.23994940797067976,0.7321953309358786,0.061165042077739276,0.25209480766536474,0.3858287977148692,33.08676333766779,0.20095658860997606,0.273749883611442,0.4965267897564669
LR,LGBM_small,5,40.0,0.1405468674880188,0.17925084812357342,0.7824627855816908,0.2143745072391276,0.01594157523349034,0.2710756217143069,0.019568108289134033,0.4349021420627011,0.5340906192159446,0.1612161214747082,0.20385556779584235,0.5621327208077488,0.0918247735907335,0.34756064351898974,0.3858287977148692,29.054508982787276,0.2172721841367068,0.2753032618826917,0.4907967176092263
SR,XGBoost,5,40.0,0.012330381296266698,0.017068463614169617,0.9980113300971049,0.20631814938380572,0.02074253195180267,0.27026082209091407,0.025610751379852435,0.439241559214074,0.5201531113387579,0.16801652460698854,0.16505252062689624,0.5646586159214011,0.2531923584767445,0.5587697708830309,0.3858287977148692,29.27359211461617,0.21063158129442308,0.2762459721033507,0.48730345704001876
SR,GradientBoosting,5,40.0,0.053035421543977015,0.07010061621684482,0.966564267546263,0.2077085025099424,0.02415756880663741,0.2704898960661613,0.03250221496783805,0.4341765595171026,0.4735085975723128,0.19674422777910303,0.11007693478790759,0.6197533972182117,0.20038927984931645,0.5323877080291604,0.3858287977148692,29.054363188711335,0.21218427691261826,0.27780194898509547,0.4815115851114018
SR,RandomForest,5,40.0,0.06409262295746503,0.08541923011139294,0.9506678296208545,0.21557753736788504,0.01861701137851881,0.273423153494764,0.024237533136672113,0.423253251070604,0.5194247822733846,0.18185105648039654,0.1330010496782127,0.5669578736432908,0.18800392338337107,0.5274145785502504,0.3858287977148692,28.346719372718052,0.2192762537254902,0.27872987054723886,0.4780420623024719
SR,LGBM_small,5,40.0,0.14439997856421088,0.18295157984338697,0.7731316777779383,0.22837774293508425,0.01549671989952918,0.28683282572675406,0.0173925764153579,0.3732829511562712,0.43626128613995785,0.14187997284422574,0.1810622252989229,0.5139993164366021,0.10388124588336711,0.39984872662166715,0.3858287977148692,25.01979347901644,0.23109795694230134,0.2908203878050046,0.4317778241584249
SR,KNN,5,40.0,0.13877153344017054,0.19810492185704046,0.7338647885149759,0.2256919134077525,0.024132890245866175,0.2967832222866046,0.02199322149368964,0.32097014151134884,0.4545741450821926,0.20295076043230922,0.02228254128503726,0.4677382254344604,0.09867830042956419,0.41289464700362705,0.3858287977148692,22.276345902258388,0.23045308235294118,0.30139534468788565,0.3897025430619675
LR,KNN,5,40.0,0.1368724977012369,0.1975224681123948,0.7353383332360329,0.2298475261225211,0.037794368782759255,0.3044870750570381,0.04047823319387901,0.2753519747555423,0.4109239063409488,0.2967339620340717,-0.2291601875455127,0.47944134715238007,0.1069646069446433,0.4599863584804906,0.3858287977148692,20.12832592957962,0.23643143529411767,0.3130404120680982,0.34163112125834993
